,uid,mat,createtime,voteUp,content
46,392394203,0,1565791711000,1,武当王也，见过老天师
46,1241321209,0,1566038633000,0,龙波如果是死在张小敬手里的我就呵呵了
46,809681241,0,1565883498000,0,2019年08月15日签到~
46,616765971,0,1565776423000,0,泼妇打架
46,1734107559,0,1565829427000,0,第一
46,709767909,0,1565866837000,0,这圣人在背着手？看热闹
46,840469247,0,1566112598000,0,圣人就是幕后
46,839986862,0,1565844037000,2,打不过居然抄家伙
46,1197898964,0,1566068530000,0,开始看见张小敬挺帅。现在他背叛兄弟愚忠。真让人牙痒
46,1234020669,0,1565922950000,1,萧规别打，主角光环你打不过
46,1481496336,0,1566026574000,1,谁说没危险了 幕后主谋没找到
46,1148185767,0,1565963922000,0,旭日升冰茶
46,1021761350,0,1566038680000,0,终于上啦
46,495324074,0,1565943295000,0,看不下去了，这什么世界
46,1318941076,0,1565999629000,1,怎么就要结束了呢
46,1482214140,0,1565979102000,2,说张小敬的都没心啊！ 只为自己考虑 不为别人考虑
46,1755848080,0,1566038066000,1,单身狗：单独
46,463856212,0,1565789373000,1,在老爷子面前，都是跳梁小丑啊~
46,1344789582,0,1565967273000,0,张小敬怎么回事？之前阻拦是为了百姓，现在又是啥意思
46,844708882,0,1565958543000,0,有张小敬这种兄弟真是造孽！！保持队形
46,548355889,0,1565762767000,2,这段群殴很真实了
46,1576406917,0,1565841669000,2,2019年08月15日签到~
46,326854478,0,1566125169000,0,为了自己的亲友去杀别人的亲友。这就是你所谓的大义
46,1035790467,0,1565842106000,0,不用猜了，终极boss徐宾，大案牍术无敌。
46,1741726949,0,1565777493000,0,生无可恋的圣人
46,1716815403,0,1565933033000,0,他不是愚忠，是为了那些无辜的人
46,1718371198,0,1566130318000,0,张小敬是对的
46,1620192317,0,1565758919000,0,老头死了，长安更乱。右相当皇也好永王当皇也罢，百姓
46,1490748837,0,1565875917000,0,这李大爷看啥热闹呢。
46,1170367313,0,1565769586000,0,要不说张小敬六亲不认呢！所有兄弟姐妹都得死。他心里只有他自己！长安不过是个由头。
46,1310586372,0,1565781687000,0,报仇你杀林九郎啊
46,1160793369,0,1565883768000,0,生无可恋的圣人
46,1455717411,0,1566098155000,0,张小敬从出场就是护长安的，黑他的都没脑子吧
46,1148185767,0,1565964525000,0,这一对狗男女···
46,1098242365,0,1565760647000,2,张小敬：大头是对的
46,385850166,0,1565750364000,0,天下王发威
46,1472665030,0,1565774493000,0,2019年08月14日签到~
46,326854478,0,1566125786000,0,王文秀这个演员带资进组？演的些啥，还挺能嘚瑟
46,1018878233,0,1566011743000,0,啥兄弟找理由
46,1601569205,0,1566010252000,0,他不是愚忠，是为了那些无辜的人
46,1229713383,0,1565876105000,0,张小敬替第八团保护他们的信仰长安，保护长安子民
46,1122238819,0,1565789375000,0,所有的计划都被张小敬搅乱了 心疼龙波 张小敬真不是个东西
46,1333430687,0,1565794562000,0,那个刚杀盖嘉远的张小敬早就不在了
46,702838282,0,1566088731000,2,张小敬这种才是大慈大悲的大爱心态，萧规就是我们的心
46,1708319118,0,1566048079000,1,你有家业吗
46,1759959880,0,1565875948000,5,张小敬：他不是愚忠，是为了那些无辜的人
46,1004154879,0,1565928473000,0,说结局崩的人 整部剧可能都没看明白 是来看热闹的吧
